"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Die obligatorische Krankenpflegeversicherung Zürich im Jahre 1929",1930,7,"Einnahmen und Ausgaben der städtischen Vertragskassen 1929","Krankenkassen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Die-obligatorische-Krankenpflegeversicherung-Zuerich-im-Jahre-1929.pdf"
"Zürcher Bau- und Wohnungsmarkt 1930/31",1930,7,"Überblick über den Zürcher Bau- und Wohnungsmarkt mit leerstehenden, neu erstellten Wohnungen und ein Ausblick im Jahre 1930","Bauen & Wohnen, Grundstückpreise, Gebäude, Liegenschaftenhandel, Wohnungen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1930-31.pdf"
"Zum 75-jährigen Bestehen der E.T.H. in Zürich",1930,7,"Gliederung der Studierenden an der ETH Zürich nach Abteilungen in Promille und Frequenzen 1855 bis 1930","Hochschule",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Zum-75-jaehrigen-Bestehen-der-ETH-in-Zuerich.pdf"
"Einkommensaufbau der Bevölkerung Zürichs 1925",1930,7,"Steuerpflichtige Männer und Frauen der Stadt nach Einkommen 1925","Steuern, Finanzen",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Einkommensaufbau-der-Bevoelkerung-Zuerichs-1925.pdf"
"Zürichs Bevölkerung am 1. Dezember 1930",1930,7,"Vorläufige Ergebnisse der Eidgenössischen Volkszählung 1930","Bevölkerung, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Zuerichs-Bevoelkerung-am-1-Dezember-1930.pdf"
"Witterungsverhältnisse des Jahres 1930 für Zürich",1930,7,"Überblick auf die Temperaturmessung in der Stadt Zürich 1930","Wetter, Temperaturen,",3,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Witterungsverhaeltnisse-des-Jahres-1930-fuer-Zuerich.pdf"
"50 Jahre Telephon in Zürich",1930,7,"Erfindungsgeschichte und erste staatliche Telefon-Netze in der Schweiz 1930","Elektronik, IT",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_50-Jahre-Telephon-in-Zuerich.pdf"
"Vierteljahres-Überblick",1930,7,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Wohnungsmarkt und der Preise der einzelnen Quartale im Überblick 1930","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Sterbefälle, Bauen & Wohnen, Bevölkerungsbilanz, Arbeitsmarkt, Verkehr, Betriebe",116,"https://statistik.stadt-zuerich.ch/modules/StatNat/1930/1930_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürcher Verkehrszählungen",1931,8,"Technik der Zürcher Verkehrszählung, Verkehrszählungen in den Quartieren 1931","Verkehr, Verkehrszählung",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Zuercher-Verkehrszaehlungen.pdf"
"Zürichs Wirtschaftsleben im Lichte der Betriebsstatistik",1931,8,"Betriebe nach der Grösse und Stadtkreisen, Betriebszälung 1929","Betriebe, Branchen",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Zuerichs-Wirtschaftsleben-im-Lichte-der-Betriebsstatistik.pdf"
"Der Viehstand Zürichs",1931,8,"Tierbesitzer und Tierbestand der Stadt Zürich 1906 bis 1931","Tiere",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Der-Viehstand-Zuerichs.pdf"
"Zürich als Handelsstadt",1931,8,"Betriebe, Beschäftigte und Entwicklungen der Stadt Zürich im Handel 1929","Betriebe, Handel",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Zuerich-als-Handelsstadt.pdf"
