"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Schweizerische Zivilluftfahrt und Flugplatz Dübendorf im Jahr 1931",1931,8,"Nationales Zivilflugwesen und internationaler Luftverkehr der Schweiz 1931","Verkehr, Luftverkehr",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Schweizerische-Zivilluftfahrt-und-Flugplatz-Duebendorf-im-Jahr-1931.pdf"
"Vierteljahres-Überblick",1931,8,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1931","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",120,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Vierteljahres-Ueberblick.pdf"
"Entwicklung der Lebenskosten in Zürich",1932,9,"Entwicklung der Lebenskosten ohne Miete, Wohnungsmiete, Lebenskosten insgesamt und des Lebenskostenindex in Zürich 1909 bis 1932","Mieten, Lebenskosten, Lebenskostenindex",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Entwicklung-der-Lebenskosten-in-Zuerich.pdf"
"Zürich als Fremdenplatz",1932,9,"Entwicklung des Fremdenverkehr mit der Herkunft der Gäste in Zürich und Vergleich mit anderen Schweizerstädten 1893 bis 1932","Fremdenverkehr",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Zuerich-als-Fremdenplatz.pdf"
"Kantonsratswahl 1932 in Zürich",1932,9,"Übersicht über die Stimmbeteiligung, Parteistärke und der Kantonsratsitze nach Parteien der Kantonsratswahl in der Stadt Zürich 1932","Bevölkerung, Wahlen, Politik, Kantonsratswahlen, Parteien",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Kantonsratswahl-1932-in-Zuerich.pdf"
"Minderbemittelte kinderreiche Familien in Zürich",1932,9,"Überblick über das Einkommen und die Unterstützung von minderbemittelte kinderreiche Familien in Zürich 1930","Familie, Unterstützung, Einkommen",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Minderbemittelte-kinderreiche-Familien-in-Zuerich.pdf"
"Struktur der Bevölkerung der Stadt Zürich und ihrer 8 Vororte",1932,9,"Übersicht über die Bevölkerung der einzelnen Stadtkreise und Vororte von Zürich 1930","Stadtkreise, Bevölkerung, Vororte, Bevölkerungsstand, Bevölkerungsgliederung",24,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Struktur-der-Bevoelkerung-der-Stadt-Zuerich-und-ihrer-8-Vororte.pdf"
"Die obligatorische Krankenpflegeversicherung Zürich 1931",1932,9,"Mitgliederbewegungen, Einnahmen und Ausgaben der Vertragskassen der Stadt Zürich 1931","Bevölkerung, Versicherungspflicht, Krankenkasse",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Die-obligatorische-Krankenpflegeversicherung-Zuerich-1931.pdf"
"Krebssterblichkeit in Zürich",1932,9,"Krebssterblichkeit in der Stadt Zürich, fremden Städten und Ländern, in der Schweiz 1876 bis 1931","Gesundheit, Krankheiten, Krebs, Bevölkerungsbewegung",44,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Krebssterblichkeit-in-Zuerich.pdf"
"Betreibungen und Konkurse in Zürich 1928 bis 1931",1932,9,"Entwicklung der Betreibungen und Konkurse von der Stadt Zürich 1928 bis 1931","Betreibungen, Konkurse",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Betreibungen-und-Konkurse-in-Zuerich-1928-bis-1931.pdf"
"Hundert Jahre Universität Zürich",1932,9,"Übersicht über die Lehrkräfte und die Studierenden 1832 bis 1932","Universität, Studierende, Lehrkräfte",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Hundert-Jahre-Universitaet-Zuerich.pdf"
"Zürcher Bau- und Wohnungsmarkt 1932/33",1932,9,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1932/33","Bauen & Wohnen, Bautätigkeit, Leerwohnungen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1932-33.pdf"
"Tuberkulosesterblichkeit in Zürich",1932,9,"Tuberkulose in der Stadt Zürich, fremden Städten und Ländern, in der Schweiz 1876 bis 1932","Krankheiten, Tuberkulose, Bevölkerungsbewegung",37,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Tuberkulosesterblichkeit-in-Zuerich.pdf"
"Vierteljahres-Überblick",1932,9,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1932","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",122,"https://statistik.stadt-zuerich.ch/modules/StatNat/1932/1932_ZSN_Vierteljahres-Ueberblick.pdf"
"Säuglingssterblichkeit in Zürich",1933,10,"Übersicht über die Säuglingssterblichkeit in der Stadt Zürich, in fremden Städten und Ländern, in der Schweiz 1871 bis 1932","Sterbefälle, Säuglinge, Bevölkerungsbewegung",49,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Saeuglingssterblichkeit-in-Zuerich.pdf"
"Der Zürcher Baukostenindex 1932",1933,10,"Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1932","Baukosten, Indexreihen",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Der-Zuercher-Baukostenindex-1932.pdf"
"Der Zürcher Mietindex 1933",1933,10,"Die Mietpreisentwicklung in alten und neuen Wohnungen in der Stadt Zürich 1933","Bauen & Wohnen, Mieten, Wohnen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Der-Zuercher-Mietindex-1933.pdf"
"Der Rindvieh- und Schweinebestand Zürichs",1933,10,"Übersicht über den Bestand von Rindvieh und Schweinen in der Stadt Zürich 1933","Nutztiere",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Der-Rindvieh--und-Schweinebestand-Zuerichs.pdf"
"Einkommens- und Vermögensaufbau der Bevölkerung Zürichs 1921-1929",1933,10,"Steuerpflichtige Männer und Frauen der Stadt nach Einkommen und Vermögen 1921 bis 1929","Steuern, Finanzen",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Einkommens--und-Vermoegensaufbau-der-Bevoelkerung-Zuerichs-1921-1929.pdf"
"Die obligatorische Krankenpflegeversicherung Zürich 1928-1932",1933,10,"Umfang, Leistungen und Finanzielles der obligatorischen Krankenversicherung 1928 bis 1932","Bevölkerung, Versicherungspflicht, Krankenkasse",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Die-obligatorische-Krankenpflegeversicherung-Zuerich-1928-1932.pdf"
"25 Jahre städtischer Schlachthof und Fleischversorgung Zürichs",1933,10,"Übersicht über Finanzielles, Baukosten, Gebühren, Schlachthofbetrieb und Fleischumsatz des städtischen Schlachhofs und Fleischversorgung 1910 bis 1933","Schlachthof, Fleischversorgung",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_25-Jahre-staedtischer-Schlachthof-und-Fleischversorgung-Zuerichs.pdf"
"Zürcher Bau- und Wohnungsmarkt 1933/34",1933,10,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1933/34","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1933-34.pdf"
"Einbürgerungen in der Stadt Zürich",1933,10,"Entwicklung der Einbürgerungen, Vergleich der Konfessionen der Eingebürgerten 1893 bis 1933","Einbürgerung, Ausländische Bevölkerung, Konfession, Bevölkerungsbewegung",40,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Einbuergerungen-in-der-Stadt-Zuerich.pdf"
"Ausverkäufe in Zürich 1933",1933,10,"Übersicht über die Ausnahme- und Teilausverkäufe der Zürcher Firmen 1933","Ausverkäufe, Firmen",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Ausverkaeufe-in-Zuerich-1933.pdf"
"Vierteljahres-Überblick",1933,10,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1933","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",121,"https://statistik.stadt-zuerich.ch/modules/StatNat/1933/1933_ZSN_Vierteljahres-Ueberblick.pdf"
"Die Arbeitslosigkeit in Zürich",1934,11,"Entwicklung der Arbeitslosigkeit in der Stadt Zürich 1921 bis 1933","Arbeitslose, Arbeitsmarkt",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Die-Arbeitslosigkeit-in-Zuerich.pdf"
"Das Personal der Zürcher Stadtverwaltung",1934,11,"Entwicklung, Anstellungsverhältnis, Lohn des Personal der Stadtverwaltung Zürich 1911 bis 1933","Löhne, Arbeitsmarkt, Personal, Anstellungsverhältnis",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Das-Personal-der-Zuercher-Stadtverwaltung.pdf"
"Der Zürcher Baukostenindex im Jahre 1933",1934,11,"Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1933","Baukosten, Indexreihen",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Der-Zuercher-Baukostenindex-im-Jahre-1933.pdf"
"100 Jahre Zürcher Stadttheater",1934,11,"Aufführungen im Stadttheater Zürich 1834 bis 1934","Stadttheater",54,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_100-Jahre-Zuercher-Stadttheater.pdf"
"Abzahlungsverkäufe mit Eigentumsvorbehalt 1926 bis 1933",1934,11,"Entwicklung der Abzahlungsverkäufe mit Eigentumsvorbehalt in der Stadt Zürich 1926 bis 1933","Eigentumsvorbehalte, Abzahlungsgeschäfte, Abzahlung",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Abzahlungsverkaeufe-mit-Eigentumsvorbehalt-1926-bis-1933.pdf"
"Die wirtschaftliche Lage des Schuhmacherhandwerks in Zürich",1934,11,"Schuhmachergewerbe im Wirtschaftlichenleben der Schweiz und der Stadt Zürich 1930","Schuhmachergewerbe",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Die-wirtschaftliche-Lage-des-Schuhmacherhandwerks-in-Zuerich.pdf"
"Das Strassennetz der Stadt Zürich",1934,11,"Entwicklung der Länge und Fläche des Strassennetzes der Stadt Zürich 1895 bis 1933","Strassennetz",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Das-Strassennetz-der-Stadt-Zuerich.pdf"
"Krise und städtische Finanzen",1934,11,"Aufsatz über die Krise und die städtischen Finanzen 1893 bis 1934","Finanzen, Vorsorge, Krise, Steuern, Wohnungsbau",41,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Krise-und-staedtische-Finanzen.pdf"
"Zürcher Bau- und Wohnungsmarkt 1934/35",1934,11,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1934/35","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1934-35.pdf"
"Der Zürcher Strassenverkehr",1934,11,"Überblick über die Verkehrszählung, Gesamtverkehr und Spitzenverkehr 1934","Verkehr, Grundeigentum, Stadtgebiet",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Der-Zuercher-Strassenverkehr.pdf"
"Vierteljahres-Überblick",1934,11,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Lebensmittelpreise sowie dem Neubau der Stadt Zürich im Überblick 1934","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, , Handänderungen, Wohnungsmarkt",124,"https://statistik.stadt-zuerich.ch/modules/StatNat/1934/1934_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürichs Bevölkerung im Jahre 1934",1935,12,"Ehen, Geburten, Tod, Wanderungsbewegung und Bevölkerungsbilanz in Zürich 1934","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung, Bevölkerungsstand, Bevölkerungsgliederung",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1934.pdf"
"Der Zürcher Baukostenindex 1934",1935,12,"Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1934","Baukosten, Indexreihen",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1935/1935_ZSN_Der-Zuercher-Baukostenindex-1934.pdf"
