"objectid","id","sensor_eui","zeitpunkt","temperature","humidity","latitude","longitude","noise","sit","geometry"
"22972","22155","0080E1150017A139","20220824021354","19.06","57.85","47.37000970","8.54158500","45","0","POINT (2683306 1247159.5)"
"22973","22156","0080E1150017A139","20220824014354","19.06","57.85","47.37000970","8.54158500","45","0","POINT (2683306 1247159.5)"
"23287","22254","0080E1150017A139","20220824065552","17.82","62.21","47.37003600","8.54161830","45","0","POINT (2683308.2 1247162.5)"
"23288","22255","0080E1150017A139","20220824062552","17.82","62.21","47.37003600","8.54161830","45","0","POINT (2683308.2 1247162.5)"
"23289","22256","0080E1150017A139","20220824055552","17.82","62.21","47.37003600","8.54161830","45","0","POINT (2683308.2 1247162.5)"
"24023","20109","0080E115003BCA55","20220822044219","18.90","73.32","47.37081620","8.54212860","45","0","POINT (2683345.8 1247249.8)"
"24722","18004","0080E115003BC996","20220820022021","18.65","76.44","47.37058740","8.54161660","45","0","POINT (2683307.2 1247223.8)"
"24747","18029","0080E1150017A139","20220820045856","18.25","79.53","47.37007350","8.54164440","45","0","POINT (2683310.2 1247166.6)"
"24749","18031","0080E1150017A139","20220820035856","18.25","79.53","47.37007350","8.54164440","45","0","POINT (2683310.2 1247166.6)"
"24750","18032","0080E1150017A139","20220820032856","18.25","79.53","47.37007350","8.54164440","45","0","POINT (2683310.2 1247166.6)"
"24775","19137","0080E1150017A139","20220821060826","19.15","84.06","47.37000430","8.54157310","45","0","POINT (2683305 1247158.9)"
"24776","19138","0080E1150017A139","20220821053826","19.15","84.06","47.37000430","8.54157310","45","0","POINT (2683305 1247158.9)"
"24777","19139","0080E1150017A139","20220821050826","19.15","84.06","47.37000430","8.54157310","45","0","POINT (2683305 1247158.9)"
"24778","19140","0080E1150017A139","20220821043826","19.15","84.06","47.37000430","8.54157310","45","0","POINT (2683305 1247158.9)"
"25015","18081","0080E1150017A139","20220820070450","18.66","79.44","47.36999940","8.54157840","45","0","POINT (2683305.5 1247158.4)"
"25018","18084","0080E1150017A139","20220820053450","18.66","79.44","47.36999940","8.54157840","45","0","POINT (2683305.5 1247158.4)"
"25047","18113","0080E115003BCA55","20220820082533","21.28","72.71","47.37001810","8.54156160","45","0","POINT (2683304 1247160.4)"
"25280","18130","0080E1150017A139","20220820084041","20.93","70.10","47.37012360","8.54169560","45","0","POINT (2683314 1247172.2)"
"25475","20485","0080E1150017A139","20220822194938","24.85","38.43","47.37004440","8.54174630","45","0","POINT (2683318 1247163.5)"
"25876","18294","0080E1150017A139","20220820145754","23.09","66.92","47.37003160","8.54167600","45","0","POINT (2683312.8 1247162)"
"25929","19427","0080E1150017A139","20220821174209","25.12","36.32","47.37017970","8.54167890","45","0","POINT (2683312.8 1247178.5)"
"25930","19428","0080E1150017A139","20220821171209","25.12","36.32","47.37017970","8.54167890","45","0","POINT (2683312.8 1247178.5)"
"25980","19478","0080E1150017A139","20220821201730","22.68","51.23","47.37001450","8.54155120","45","0","POINT (2683303.2 1247160)"
"26192","18394","0080E1150017A139","20220820190911","21.38","77.78","47.37002580","8.54159750","45","0","POINT (2683306.8 1247161.2)"
"26904","27665","0080E1150017A139","20220829171531","30.64","38.24","47.37019030","8.54176430","45","0","POINT (2683319.2 1247179.8)"
"26905","27666","0080E1150017A139","20220829164531","30.64","38.24","47.37019030","8.54176430","45","0","POINT (2683319.2 1247179.8)"
"26907","27668","0080E1150017A139","20220829154531","30.64","38.24","47.37019030","8.54176430","45","0","POINT (2683319.2 1247179.8)"
"26921","27682","0080E115003BCA55","20220829171855","26.31","45.35","47.37034580","8.54160960","45","0","POINT (2683307.2 1247196.9)"
"26922","27683","0080E115003BCA55","20220829164855","26.31","45.35","47.37034580","8.54160960","45","40","POINT (2683307.2 1247196.9)"
"26953","28794","0080E1150017A139","20220830220314","19.58","72.16","47.37000110","8.54161460","45","0","POINT (2683308.2 1247158.6)"
"27028","27717","0080E1150017A139","20220829192039","27.40","44.29","47.37006340","8.54161820","45","0","POINT (2683308.2 1247165.5)"
"27030","27719","0080E1150017A139","20220829182039","27.40","44.29","47.37006340","8.54161820","45","0","POINT (2683308.2 1247165.5)"
"27193","27810","0080E1150017A139","20220829230143","22.66","60.56","47.37005030","8.54157110","45","0","POINT (2683304.8 1247164)"
"27194","27811","0080E1150017A139","20220829223143","22.66","60.56","47.37005030","8.54157110","45","0","POINT (2683304.8 1247164)"
"28820","28357","0080E1150017A139","20220830034316","19.78","76.29","47.37001220","8.54159280","45","0","POINT (2683306.5 1247159.8)"
"28821","28358","0080E1150017A139","20220830031316","19.78","76.29","47.37001220","8.54159280","45","0","POINT (2683306.5 1247159.8)"
"28822","28359","0080E1150017A139","20220830024316","19.78","76.29","47.37001220","8.54159280","45","0","POINT (2683306.5 1247159.8)"
"28823","28360","0080E1150017A139","20220830021316","19.78","76.29","47.37001220","8.54159280","45","0","POINT (2683306.5 1247159.8)"
"29162","29635","0080E115003BDA59","20220831133001","22.01","67.55","47.37018250","8.54175370","45","0","POINT (2683318.2 1247178.9)"
"29248","28497","0080E1150017A139","20220830100113","22.95","78.07","47.37006240","8.54156870","45","0","POINT (2683304.5 1247165.4)"
"29249","28498","0080E1150017A139","20220830093113","22.95","78.07","47.37006240","8.54156870","45","0","POINT (2683304.5 1247165.4)"
"29250","28499","0080E1150017A139","20220830090113","22.95","78.07","47.37006240","8.54156870","45","0","POINT (2683304.5 1247165.4)"
"29251","28500","0080E1150017A139","20220830083113","22.95","78.07","47.37006240","8.54156870","45","0","POINT (2683304.5 1247165.4)"
"29330","29659","0080E1150017A139","20220831142123","21.83","62.50","47.37000520","8.54167810","45","0","POINT (2683313 1247159.1)"
"29676","28637","0080E1150017A139","20220830161655","28.15","43.75","47.37013660","8.54158300","45","0","POINT (2683305.5 1247173.6)"
"29677","28638","0080E1150017A139","20220830154655","28.15","43.75","47.37013660","8.54158300","45","0","POINT (2683305.5 1247173.6)"
"29679","28640","0080E1150017A139","20220830144655","28.15","43.75","47.37013660","8.54158300","45","0","POINT (2683305.5 1247173.6)"
"29728","28689","0080E1150017A139","20220830182202","28.84","39.47","47.37000760","8.54157630","45","0","POINT (2683305.2 1247159.2)"
"29729","28690","0080E1150017A139","20220830175202","28.84","39.47","47.37000760","8.54157630","45","0","POINT (2683305.2 1247159.2)"
"29730","28691","0080E1150017A139","20220830172202","28.84","39.47","47.37000760","8.54157630","45","0","POINT (2683305.2 1247159.2)"
"1037","1037","0080E115003BC996","20220902001002","17.99","65.38","47.37009200","8.54152020","45","0","POINT (2683300.8 1247168.6)"
"1038","1038","0080E115003BC996","20220901234002","17.99","65.38","47.37009200","8.54152020","45","0","POINT (2683300.8 1247168.6)"
