Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
2026-01-06T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,51.54,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,12.2,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,26.06,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,37.79,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,20.95,provisorisch
2026-01-06T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,16919.67,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,14.42,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,42.22,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,33.64,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,16.76,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,41.59,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,26.21,provisorisch
2026-01-06T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,17.56,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,2.78,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,22.2,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,13.84,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,39.42,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,63.87,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,18.9,provisorisch
2026-01-07T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,17.03,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,17.83,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,34.97,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,32.58,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,30.29,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,52.01,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,31.26,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,20.1,provisorisch
2026-01-07T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,19673.67,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,16.76,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,34.58,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,31.52,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,29.99,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,54.37,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,28.87,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,20.07,provisorisch
2026-01-07T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,11129.05,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,6.84,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,26.32,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,19.24,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,35.87,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,59.16,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,29.32,provisorisch
2026-01-07T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,19,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,1.45,provisorisch
