Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,6,Kreis 7+8,31842,8321,8906,56.5,48.3,51.7,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,7,Kreis 9,32043,6300,7668,45.4,45.1,54.9,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,8,Kreis 10,24455,5816,7250,55.7,44.5,55.5,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,9,Kreis 11,38058,7416,7839,42.1,48.6,51.4,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,10,Kreis 12,15464,2362,2872,35.8,45.1,54.9,,
11/30/2025,2,Kanton Zürich,B. Gegenvorschlag des Kantonsrates vom 30. Juni 2025,3,Stadt Zürich,,,237157,50461,61328,49.2,45.1,54.9,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",2,Kanton Zürich,,,941331,104714,270131,45.1,27.9,72.1,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",2,Kanton Zürich,,,941331,160273,234277,45.8,40.6,59.4,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,2,Kreis 1+2,23372,2905,7402,49,28.2,71.8,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,2,Kreis 1+2,23372,5831,4983,49.7,53.9,46.1,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,3,Kreis 3,27707,3565,8695,48.6,29.1,70.9,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,3,Kreis 3,27707,8486,4411,49.4,65.8,34.2,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,4,Kreis 4+5,24384,3109,7846,48.7,28.4,71.6,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,4,Kreis 4+5,24384,7895,3542,49.2,69,31,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,5,Kreis 6,19832,2676,7504,56.1,26.3,73.7,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,5,Kreis 6,19832,6091,4533,56.9,57.3,42.7,,
